epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
82,76.7231,1.66827,0.82946,0.2953,1.54535,0.00782,3.04159,0.43038,0.5,0.53088,0.15418,0.45782,0.5,0.51276,0.28558,1.93465,1.64888,0.15367,2.34474,0.01347,0,0.0003962,0.0003962,0.0003962
83,77.4423,1.56319,0.86219,0.25053,1.60225,0.00769,2.58601,0.58235,0.44444,0.58245,0.17227,0.66731,0.44444,0.55707,0.29155,1.97603,1.62395,0.1518,2.26041,0.01383,0,0.0003764,0.0003764,0.0003764
84,78.2155,1.43795,0.79312,0.30374,1.65335,0.00686,2.2777,0.47911,0.5,0.5103,0.16514,0.77918,0.44444,0.5834,0.3093,1.89228,1.84054,0.15631,2.35564,0.01373,0,0.0003566,0.0003566,0.0003566
85,78.936,1.44338,0.68599,0.22894,1.53112,0.00701,2.00847,0.50292,0.5,0.49914,0.16017,0.56489,0.33333,0.39068,0.29528,1.87494,1.8099,0.15598,2.33812,0.01375,0,0.0003368,0.0003368,0.0003368
86,79.6973,1.557,0.5836,0.26084,1.67438,0.00747,2.10386,0.4648,0.5,0.48426,0.16765,0.39858,0.33333,0.37293,0.2804,1.87262,1.83703,0.15419,2.34033,0.01362,0,0.000317,0.000317,0.000317
87,80.4456,1.51477,0.75131,0.28762,1.64815,0.00719,2.34153,0.4995,0.44444,0.46897,0.16533,0.47866,0.40888,0.44186,0.28539,1.86404,1.84253,0.15375,2.34695,0.01352,0,0.0002972,0.0002972,0.0002972
88,81.2015,1.68855,0.72107,0.29915,1.6275,0.00742,2.25953,0.49069,0.44444,0.44406,0.17047,0.60282,0.38889,0.4197,0.27567,1.88657,1.81808,0.15377,2.36696,0.01365,0,0.0002774,0.0002774,0.0002774
89,82.066,1.52975,0.79527,0.26706,1.71173,0.00706,2.40541,0.4403,0.44444,0.42438,0.16914,0.44388,0.44444,0.40272,0.27231,1.90667,1.76688,0.15241,2.38658,0.01371,0,0.0002576,0.0002576,0.0002576
90,82.8214,1.50163,0.85222,0.2551,1.54465,0.00718,2.14223,0.40417,0.5,0.40344,0.1621,0.40306,0.44444,0.38631,0.26339,1.88949,1.76973,0.15383,2.41439,0.01366,0,0.0002378,0.0002378,0.0002378
91,85.5167,1.47824,0.57939,0.11454,1.47195,0.00901,2.03622,0.43425,0.5,0.39666,0.15491,0.44042,0.5,0.38174,0.26134,1.92895,1.74242,0.15039,2.31611,0.01396,0,0.000218,0.000218,0.000218
92,86.3425,1.56501,0.49144,0.10276,1.41951,0.00958,1.94768,0.47796,0.44444,0.41429,0.15965,0.47796,0.44444,0.40465,0.2751,1.91663,1.72936,0.14843,2.33756,0.01399,0,0.0001982,0.0001982,0.0001982
93,87.0862,1.32311,0.451,0.11089,1.42577,0.00761,1.80843,0.49628,0.43825,0.39258,0.15095,0.42847,0.44444,0.38309,0.2627,1.94077,1.73301,0.1468,2.34889,0.01421,0,0.0001784,0.0001784,0.0001784
94,87.8421,1.45261,0.47853,0.10686,1.36353,0.00796,1.87625,0.46532,0.44444,0.37499,0.13646,0.46532,0.44444,0.36687,0.2609,1.90581,1.77572,0.14316,2.45218,0.01487,0,0.0001586,0.0001586,0.0001586
95,88.5673,1.43429,0.39215,0.09649,1.45295,0.00808,1.37761,0.46759,0.44444,0.3775,0.13953,0.46759,0.44444,0.38338,0.26793,1.90017,1.7829,0.14139,2.45179,0.01495,0,0.0001388,0.0001388,0.0001388
96,89.3047,1.42217,0.42193,0.10558,1.3318,0.00861,1.66362,0.4856,0.44444,0.37181,0.13744,0.4856,0.44444,0.37808,0.26417,1.89349,1.77846,0.13835,2.43504,0.01505,0,0.000119,0.000119,0.000119
97,90.0311,1.43371,0.35531,0.09717,1.38557,0.00885,1.66162,0.42415,0.5,0.38427,0.13827,0.42415,0.5,0.39155,0.27169,1.89034,1.77547,0.13746,2.42071,0.01504,0,9.92e-05,9.92e-05,9.92e-05
98,90.9352,1.41996,0.38781,0.08514,1.34533,0.00877,1.51886,0.52138,0.44444,0.40321,0.14714,0.52138,0.44444,0.39285,0.27142,2.0459,1.89509,0.13622,2.14171,0.01605,0,7.94e-05,7.94e-05,7.94e-05
99,91.6613,1.38722,0.41253,0.09539,1.29892,0.0082,1.803,0.5325,0.44306,0.40336,0.14883,0.5325,0.44306,0.39312,0.27125,1.96788,1.78555,0.13533,2.20406,0.0151,0,5.96e-05,5.96e-05,5.96e-05
100,92.3952,1.40567,0.39752,0.09322,1.39927,0.00818,1.685,0.52574,0.43179,0.41556,0.15308,0.52574,0.43179,0.40714,0.28629,1.95976,1.76713,0.13488,2.18135,0.01495,0,3.98e-05,3.98e-05,3.98e-05
