epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,424.706,0.98986,0.4464,0.00223,0.80671,0.82862,0.82644,0.28823,2.30704,0.92971,0.00432,0.001241,0.001241,0.001241
117,428.126,1.00565,0.44214,0.00226,0.84246,0.87432,0.89624,0.35372,2.09585,0.87027,0.00388,0.0012344,0.0012344,0.0012344
118,431.618,0.99477,0.45789,0.00235,0.88506,0.84153,0.93556,0.49363,1.58118,0.75624,0.0032,0.0012278,0.0012278,0.0012278
119,435.114,1.01975,0.4974,0.00242,0.87548,0.9093,0.94994,0.45591,1.76356,0.77032,0.0034,0.0012212,0.0012212,0.0012212
120,438.602,0.99104,0.45579,0.00227,0.86423,0.91621,0.95207,0.45915,1.84817,0.71002,0.00368,0.0012146,0.0012146,0.0012146
121,442.055,1.02617,0.44342,0.00228,0.83898,0.90893,0.93713,0.54519,1.50382,0.66754,0.00333,0.001208,0.001208,0.001208
122,445.558,1.02138,0.50456,0.0027,0.83277,0.91621,0.93771,0.54241,1.50162,0.6771,0.00341,0.0012014,0.0012014,0.0012014
123,448.978,0.99468,0.45949,0.00246,0.83846,0.91704,0.94937,0.55177,1.48214,0.66694,0.00329,0.0011948,0.0011948,0.0011948
124,452.48,0.97081,0.45577,0.00228,0.85037,0.9317,0.95598,0.57158,1.43403,0.64175,0.00333,0.0011882,0.0011882,0.0011882
125,455.903,1.0259,0.46889,0.00231,0.84965,0.92896,0.94598,0.57156,1.39509,0.66232,0.00346,0.0011816,0.0011816,0.0011816
126,459.364,1.00874,0.45666,0.00243,0.86869,0.89173,0.93817,0.58424,1.30822,0.64511,0.00305,0.001175,0.001175,0.001175
127,462.848,0.98079,0.45969,0.00229,0.87517,0.89389,0.94843,0.54032,1.47673,0.64966,0.00337,0.0011684,0.0011684,0.0011684
128,466.304,1.01009,0.47419,0.00247,0.85837,0.93078,0.95287,0.46211,1.7422,0.71719,0.00349,0.0011618,0.0011618,0.0011618
129,469.711,1.00144,0.44929,0.00237,0.84287,0.93078,0.94844,0.43539,1.81105,0.74259,0.00354,0.0011552,0.0011552,0.0011552
130,473.166,1.02142,0.45626,0.00236,0.87982,0.89982,0.94685,0.42939,1.86506,0.77318,0.00359,0.0011486,0.0011486,0.0011486
131,476.625,0.97354,0.45349,0.00228,0.90358,0.8706,0.92581,0.38601,1.96914,0.80082,0.00371,0.001142,0.001142,0.001142
132,480.088,1.03182,0.47103,0.00224,0.87598,0.87796,0.93461,0.49459,1.68343,0.73426,0.0036,0.0011354,0.0011354,0.0011354
133,483.515,0.98289,0.45787,0.00238,0.87933,0.88889,0.9372,0.52277,1.58072,0.72935,0.00343,0.0011288,0.0011288,0.0011288
134,487.012,1.00383,0.44536,0.0023,0.89834,0.90142,0.9489,0.50959,1.61859,0.72359,0.00346,0.0011222,0.0011222,0.0011222
135,490.532,0.96078,0.46342,0.00225,0.87592,0.89617,0.94303,0.53291,1.52375,0.71826,0.00336,0.0011156,0.0011156,0.0011156
136,493.998,0.99577,0.44484,0.0023,0.88235,0.90162,0.94067,0.49139,1.69478,0.74099,0.0032,0.001109,0.001109,0.001109
137,497.423,0.95814,0.42438,0.0023,0.9195,0.87381,0.94593,0.46224,1.8178,0.73551,0.00334,0.0011024,0.0011024,0.0011024
138,500.877,0.98481,0.44122,0.00226,0.88011,0.92168,0.95262,0.4941,1.67549,0.69899,0.00328,0.0010958,0.0010958,0.0010958
139,504.321,0.94283,0.43506,0.00228,0.87111,0.92896,0.94552,0.47636,1.66728,0.69716,0.00336,0.0010892,0.0010892,0.0010892
140,507.814,0.95954,0.42661,0.00197,0.90869,0.86885,0.95047,0.52697,1.48915,0.68719,0.00297,0.0010826,0.0010826,0.0010826
141,511.295,0.91434,0.43371,0.00211,0.89196,0.88719,0.94585,0.52712,1.4785,0.73601,0.00296,0.001076,0.001076,0.001076
142,514.773,0.94894,0.42755,0.00214,0.89065,0.8725,0.94066,0.49846,1.60606,0.76275,0.0031,0.0010694,0.0010694,0.0010694
143,518.257,0.92478,0.43923,0.00219,0.88409,0.90893,0.94944,0.54121,1.4977,0.67663,0.00299,0.0010628,0.0010628,0.0010628
144,521.721,1.0077,0.43973,0.00246,0.88349,0.88889,0.94945,0.60521,1.27636,0.6303,0.00292,0.0010562,0.0010562,0.0010562
145,525.164,0.98415,0.41912,0.00222,0.87464,0.87614,0.94325,0.61959,1.22164,0.62049,0.00274,0.0010496,0.0010496,0.0010496
146,528.67,0.9554,0.42137,0.00208,0.84571,0.89435,0.93475,0.59926,1.28569,0.63875,0.0029,0.001043,0.001043,0.001043
147,532.132,0.99199,0.4471,0.00232,0.84875,0.87796,0.9179,0.57641,1.33965,0.72463,0.00303,0.0010364,0.0010364,0.0010364
148,535.626,0.99521,0.42363,0.00238,0.90655,0.89071,0.95268,0.57142,1.39353,0.63553,0.0032,0.0010298,0.0010298,0.0010298
149,539.006,0.97315,0.42664,0.00245,0.90305,0.92532,0.96048,0.55458,1.46143,0.64471,0.0033,0.0010232,0.0010232,0.0010232
150,542.427,0.90661,0.42994,0.0023,0.92246,0.91075,0.96226,0.42996,1.8784,0.76915,0.00363,0.0010166,0.0010166,0.0010166
151,545.887,0.93199,0.42739,0.00207,0.91864,0.92896,0.96876,0.49196,1.66031,0.67192,0.00324,0.00101,0.00101,0.00101
152,549.333,0.9185,0.40846,0.00208,0.90447,0.92714,0.96742,0.53125,1.51193,0.64971,0.00307,0.0010034,0.0010034,0.0010034
153,552.784,0.93684,0.42708,0.0022,0.91542,0.90691,0.95714,0.53575,1.5132,0.67076,0.00304,0.0009968,0.0009968,0.0009968
154,556.291,0.97553,0.43983,0.00226,0.91053,0.90893,0.95712,0.51262,1.56617,0.68438,0.00313,0.0009902,0.0009902,0.0009902
155,559.794,0.91599,0.41443,0.00207,0.92202,0.92609,0.97195,0.5247,1.53863,0.66135,0.00299,0.0009836,0.0009836,0.0009836
156,563.266,0.89672,0.42526,0.00206,0.92295,0.9071,0.9676,0.58206,1.40649,0.64062,0.00296,0.000977,0.000977,0.000977
157,566.663,0.90852,0.42634,0.00222,0.91065,0.91803,0.96515,0.60243,1.35185,0.6156,0.00303,0.0009704,0.0009704,0.0009704
158,570.16,0.87757,0.40793,0.00199,0.90047,0.90642,0.96089,0.58545,1.36365,0.62968,0.00293,0.0009638,0.0009638,0.0009638
159,573.665,0.93801,0.42812,0.00219,0.89241,0.93989,0.96537,0.54339,1.52325,0.66116,0.00277,0.0009572,0.0009572,0.0009572
160,577.149,0.9197,0.43149,0.00232,0.88466,0.92714,0.95436,0.54825,1.48191,0.66732,0.00283,0.0009506,0.0009506,0.0009506
161,580.569,0.88016,0.4041,0.00199,0.88029,0.92425,0.94463,0.58586,1.35445,0.64135,0.00271,0.000944,0.000944,0.000944
162,584.066,0.89226,0.40702,0.00209,0.90333,0.88504,0.95249,0.60229,1.3162,0.63777,0.00273,0.0009374,0.0009374,0.0009374
163,587.543,1.00125,0.43589,0.00212,0.89763,0.9071,0.95651,0.6084,1.32843,0.60786,0.00269,0.0009308,0.0009308,0.0009308
